"rep_proj","study_num","study_title","authors","first_author","study_rep_number","journal","how","n_nhst_tot","n_error_tot","n_decision_error_tot","n_nhst_rep","ex_yn","ex_correction","ex_clear","nhst_yn","nhst_check"
"OSC",1,"Age-related changes in the episodic simulation of future events","DR Addis, AT Wong, DL Schacter","Addis","1","PS","pdf_search",42,NA,NA,42,1,NA,1,1,1
"OSC",2,"Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.","D Albarracn, IM Handley, K Noguchi, KC McCulloch, H Li, J Leeper, RD Brown, A Earl, WP Hart","Albarracín","7","JPSP","r_function",10,0,0,3,1,NA,1,1,1
"OSC",3,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","AL Alter, DM Oppenheimer","Alter","2","PS","pdf_search",11,NA,NA,NA,1,NA,0,1,1
"OSC",4,"The representation of simple ensemble visual features outside the focus of attention","GA Alvarez, A Oliva","Alvarez","3","PS","pdf_search",18,0,0,6,0,NA,NA,1,1
"OSC",5,"Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.","DM Amodio, PG Devine, E Harmon-Jones","Amodio","2","JPSP","r_function",56,5,1,13,1,NA,1,1,1
"OSC",6,"Prescribed optimism: Is it right to be wrong about the future?","DA Armor, C Massey, AM Sackett","Armor","1","PS","pdf_search",15,NA,NA,NA,NA,NA,NA,1,1
"OSC",7,"Priming addition facts with semantic relations.","M Bassok, SF Pedigo, AT Oskarsson","Bassok","1","JEP:LMC","r_function",17,1,1,9,1,NA,1,1,1
"OSC",8,"Modeling distributions of immediate memory effects: No strategies needed?","CP Beaman, I Neath, AM Surprenant","Beaman","2","JEP:LMC","r_function",4,0,0,2,0,NA,0,1,1
"OSC",9,"A single-system account of the relationship between priming, recognition, and fluency.","CJ Berry, DR Shanks, RN Henson","Berry","1","JEP:LMC","r_function",23,2,1,23,1,NA,1,1,1
"OSC",10,"Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.","KL Blankenship, DT Wegener","Blankenship","5a","JPSP","r_function",76,26,1,2,0,NA,NA,1,1
"OSC",11,"The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk","P Bressan, D Stranieri","Bressan","2","PS","pdf_search",15,NA,NA,12,1,NA,1,1,1
"OSC",12,"Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.","JI Campbell, ND Robert","Campbell","3","JEP:LMC","r_function",15,0,0,5,0,NA,NA,1,1
"OSC",13,"Affective incoherence: When affective concepts and embodied reactions clash.","DB Centerbar, S Schnall, GL Clore, ED Garvin","Centerbar","5","JPSP","r_function",56,17,0,14,1,NA,1,1,1
"OSC",14,"How does bilingualism improve executive control? A comparison of active and reactive inhibition mechanisms.","LS Colzato, MT Bajo, W van den Wildenberg, D Paolieri, S Nieuwenhuis, W La Heij, B Hommel","Colzato","3","JEP:LMC","r_function",9,3,0,4,1,NA,1,1,1
"OSC",15,"1/f noise and effort on implicit measures of bias.","J Correll","Correll","2","JPSP","r_function",27,3,0,10,0,NA,NA,1,1
"OSC",16,"Learning correct responses and errors in the Hebb repetition effect: two faces of the same coin.","M Couture, D Lafond, S Tremblay","Couture","1","JEP:LMC","r_function",5,1,1,5,0,NA,NA,1,1
"OSC",17,"Terror management and adults' attachment to their parents: The safe haven remains.","CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon","Cox","6","JPSP","r_function",30,2,0,NA,1,NA,1,1,1
"OSC",18,"Where do we look during potentially offensive behavior?","JR Crosby, B Monin, D Richardson","Crosby","1","PS","pdf_search",1,NA,NA,1,0,NA,NA,1,1
"OSC",19,"The value heuristic in judgments of relative frequency.","X Dai, K Wertenbroch, CM Brendl","Dai","1","PS","pdf_search",1,NA,NA,1,1,NA,1,1,1
"OSC",20,"Auditory change detection: simple sounds are not memorized better than complex sounds","L Demany, W Trost, M Serman, C Semal","Demany","5","PS","pdf_search",11,NA,NA,2,0,NA,NA,1,1
